jiscode	citynamejp	citynameen	regionalname	islandname	islandkana	islandnameen	lat	long	area	coast	h27pop	h22pop	law	desinatedname	manned	delegate
46527	鹿児島県奄美市・大島郡大和村・宇検村・瀬戸内町・龍郷町	Amami, Yamato, Uken, Setouchi and Tatsugo in Kagoshima	奄美群島	大島（奄美大島）	おおしま（あまみおおしま）	Oshima (Amamioshima)	28.31990375	129.4279753	712.41	461	59828	64107	奄美群島振興開発特別措置法	奄美群島	1	0
46529	鹿児島県大島郡喜界町	Kikai, Kagoshima	奄美群島	喜界島	きかいしま	Kikaishima	28.32644626	129.9741808	56.76	50	7212	8169	奄美群島振興開発特別措置法	奄美群島	1	1
46530	鹿児島県大島郡徳之島町・天城町・伊仙町	Tokunoshima, Amagi and Isen in Kagoshima	奄美群島	徳之島	とくのしま	Tokunoshima	27.77748153	128.9584174	247.85	89.2	23497	25587	奄美群島振興開発特別措置法	奄美群島	1	1
46531	鹿児島県大島郡徳之島町・天城町・伊仙町	Tokunoshima, Amagi and Isen in Kagoshima	奄美群島	徳之島	とくのしま	Tokunoshima	27.77748153	128.9584174	247.85	89.2	23497	25587	奄美群島振興開発特別措置法	奄美群島	1	0
46532	鹿児島県大島郡徳之島町・天城町・伊仙町	Tokunoshima, Amagi and Isen in Kagoshima	奄美群島	徳之島	とくのしま	Tokunoshima	27.77748153	128.9584174	247.85	89.2	23497	25587	奄美群島振興開発特別措置法	奄美群島	1	0
46533	鹿児島県大島郡和泊町・知名町	Wadomari and China in Kagoshima	奄美群島	沖永良部島	おきのえらぶじま	Okinoerabujima	27.38437292	128.6169151	93.65	55.8	12996	13920	奄美群島振興開発特別措置法	奄美群島	1	1
46534	鹿児島県大島郡和泊町・知名町	Wadomari and China in Kagoshima	奄美群島	沖永良部島	おきのえらぶじま	Okinoerabujima	27.38437292	128.6169151	93.65	55.8	12996	13920	奄美群島振興開発特別措置法	奄美群島	1	0
46535	鹿児島県大島郡与論町	Yoron, Kagoshima	奄美群島	与論島	よろんじま	Yoronjima	27.04340528	128.426826	20.56	23.7	5186	5327	奄美群島振興開発特別措置法	奄美群島	1	1
47207	沖縄県石垣市	Ishigaki, Okinawa	八重山諸島	小島	こじま	Kojima	24.45729361	124.1495363	0.37	3		0	沖縄振興特別措置法	八重山圏域	0	1
47207	沖縄県石垣市	Ishigaki, Okinawa	八重山諸島	石垣島	いしがきじま	Ishigakijima	24.43293846	124.2054826	222.24	182.5	47564	46922	沖縄振興特別措置法	八重山圏域	1	1
47213	沖縄県うるま市	Uruma, Okinawa		津堅島	つけんじま	Tsukenjima	26.25210861	127.9408953	1.88	8.9	391	470	沖縄振興特別措置法	中南部圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	池間島	いけまじま	Ikemajima	24.92927736	125.243491	2.83	11.2	603	648	沖縄振興特別措置法	宮古圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	大神島	おおがみじま	Ogamijima	24.91645	125.3079669	0.24	2.4	28	28	沖縄振興特別措置法	宮古圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	伊良部島	いらぶじま	Irabujima	24.83428709	125.1885682	29.06	72.4	4693	5148	沖縄振興特別措置法	宮古圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	下地島	しもじしま	Shimojishima	24.82237417	125.1555326	9.68	32.3	76	57	沖縄振興特別措置法	宮古圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	宮古島	みやこじま	Miyakojima	24.77330849	125.3329721	158.93	133.5	45625	46001	沖縄振興特別措置法	宮古圏域	1	1
47214	沖縄県宮古島市	Miyakojima, Okinawa	宮古諸島	来間島	くりまじま	Kurimajima	24.72240084	125.2484975	2.84	6.5	161	157	沖縄振興特別措置法	宮古圏域	1	1
47215	沖縄県南城市	Nanjo, Okinawa		久高島	くだかじま	Kudakajima	26.16209654	127.8949253	1.36	9	206	269	沖縄振興特別措置法	中南部圏域	1	1
47308	沖縄県国頭郡本部町	Motobu, Okinawa		水納島	みんなしま	Min'nashima	26.64739129	127.8161923	0.47	4.8	41	42	沖縄振興特別措置法	北部圏域	1	1
47315	沖縄県国頭郡伊江村	Ie, Okinawa		伊江島	いえしま	Ieshima	26.72181931	127.7901654	22.76	23.6	4260	4737	沖縄振興特別措置法	北部圏域	1	1
47353	沖縄県島尻郡渡嘉敷村	Tokashiki, Okinawa	慶良間諸島	黒島	くろしま	Kuroshima	26.25207098	127.4042881	0.27			0	沖縄振興特別措置法	中南部圏域	0	1
47353	沖縄県島尻郡渡嘉敷村	Tokashiki, Okinawa	慶良間諸島	儀志布島	ぎしっぷじま	Gishippujima	26.23017959	127.3695974	0.49	4.2		0	沖縄振興特別措置法	中南部圏域	0	1
47353	沖縄県島尻郡渡嘉敷村	Tokashiki, Okinawa	慶良間諸島	前島	まえしま	Maeshima	26.21294875	127.4475621	1.59	7	0	4	沖縄振興特別措置法	中南部圏域	1	1
47353	沖縄県島尻郡渡嘉敷村	Tokashiki, Okinawa	慶良間諸島	渡嘉敷島	とかしきじま	Tokashikijima	26.18608584	127.3566567	15.31	19.6	730	756	沖縄振興特別措置法	中南部圏域	1	1
47353	沖縄県島尻郡渡嘉敷村	Tokashiki, Okinawa	慶良間諸島	離島	はなれじま	Hanarejima	26.16185764	127.3386019	0.1			0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	座間味島	ざまみじま	Zamamijima	26.23524681	127.3071356	6.7	23.2	564	557	沖縄振興特別措置法	中南部圏域	1	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	嘉比島	がひじま	Gahijima	26.21831875	127.2858064	0.13	1.5		0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	屋嘉比島	やかびじま	Yakabijima	26.21595806	127.244616	1.25	5.3		0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	安慶名敷島	あげなしくじま	Agenashikujima	26.21549528	127.2949524	0.1	2.1		0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	安室島	あむろじま	Amurojima	26.20516625	127.3122565	0.73	5.2		0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	阿嘉島	あかじま	Akajima	26.19993973	127.2790896	3.8	12.3	248	253	沖縄振興特別措置法	中南部圏域	1	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	慶留間島	げるまじま	Gerumajima	26.18168681	127.2894113	1.15	4.9	58	55	沖縄振興特別措置法	中南部圏域	1	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	久場島	くばしま	Kubashima	26.17253778	127.2381086	1.54	6.8		0	沖縄振興特別措置法	中南部圏域	0	1
47354	沖縄県島尻郡座間味村	Zamami, Okinawa	慶良間諸島	外地島	ふかじしま	Fukajishima	26.1678614	127.2923053	0.83	4.6		0	沖縄振興特別措置法	中南部圏域	0	1
47355	沖縄県島尻郡粟国村	Aguni, Okinawa		粟国島	あぐにじま	Agunijima	26.58843417	127.2281729	7.62	15.8	759	863	沖縄振興特別措置法	中南部圏域	1	1
47356	沖縄県島尻郡渡名喜村	Tonaki, Okinawa		渡名喜島	となきじま	Tonakijima	26.3652182	127.1492231	3.58	17.7	430	452	沖縄振興特別措置法	中南部圏域	1	1
47357	沖縄県島尻郡南大東村	Minamidaito, Okinawa	大東諸島	南大東島	みなみだいとうじま	Minamidaitojima	25.84250195	131.2433906	30.52	24.1	1329	1442	沖縄振興特別措置法	中南部圏域	1	1
